title,categories
6월 평가원 모의고사 현장 응시 및 가채점,시험;학업
밥터디 멤버들과 저녁 식사하며 공부 고민 나누기,친목;가사
수능 원서 접수용 증명사진 촬영,시험;구매;미용
인터넷 서점에서 수학 N제 및 실모 구매,구매;학업
부모님께 생활비 관련 전화,가족;통화;경제
스트레스성 두통으로 잠깐 산책하며 머리 식히기,건강;휴식
30분 유산소 운동,건강;취미
9월 모평 성적표 바탕으로 정시 지원 대학 라인 점검,시험;학업;재무
컨디션 조절을 위한 주말 오전 늦잠 자기,휴식;건강
스터디 카페 월 정액권 연장 결제,정기 지출;학업;경제
유고결석 신청하기,학업;건강
진단서 끊기,건강;경제
현우진 시발점 인강 완강 후 뉴런 복습 시작,학업
국어 비문학 지문 구조도 그리기 연습,학업;시험
일클래스 체화 훈련,학업
영어 기출문제 1개년 풀고 단어 및 구문 정리,학업;시험
6월 모의평가 오답 노트 작성 및 분석,학업;시험
과학탐구 과목 개념서 3회독,학업
시대인재 서바이벌 강대 수학 실전 모의고사 응시,시험;학업
수능특강 문학 작품 분석,학업;시험
수학 준킬러 유형 문제 30개 타임어택,학업;시험
점심시간 활용 영어 듣기평가 딕테이션 훈련,학업;휴식
인강 프리패스 재결제 및 교재 구매,정기 지출;구매;학업
스터디 메이트와 어려운 문제 질문 및 풀이 공유,친목;학업
하루 공부 마감 전 오늘 암기한 내용 백지 복습,시험;학업;휴식
파이널 대비 강좌 수강신청 및 교재 예약,학업;구매;예약
9월 모의평가 대비 과목별 시간 분배 전략 재수립,시험;학업
목표 대학 정시 요강 분석 및 과목별 반영비 확인,학업;재무
오답 문제 다시 풀기,학업
단대 논술,학업;시험
성대 논술,학업;시험
연세대 논술,학업;시험
이혼 전문 변호사와 소송 전략 회의,업무;재무;가족
가사 조정 기일 법원 출석,시험;업무;가족
재산 분할 목록 작성 및 증빙 서류 준비,재무;가사;경제
자녀 양육권 관련 가사 조사관 면담 준비,가족;시험;업무
배우자 유책 증거 정리 및 변호사에게 전달,업무;시험;가족
자녀의 심리 안정을 위한 아동 상담 센터 방문,가족;치료
공동 명의 아파트 처분을 위한 부동산 방문,가사;재무;구매
오피스텔 임대 계약,가사;구매;경제
양육비 산정을 위한 소득금액증명원 발급,재무;경제;가족
시댁 소송 진행 상황 설명,가족;통화;업무;경제;재무;가사
자녀 면접교섭일정 조율을 위한 문자 통보,가족;통화;업무;경제;재무;가사
공동 명의 통장 해지 및 자산 동결 신청,가족;업무;경제;재무;가사
종신보험 등 보험 계약자 및 수익자 변경 신청,가족;업무;경제;재무;가사
소송 비용 마련을 위한 대출 상담,가족;업무;경제;재무;가사;통화;예약
자녀 학교 담임 선생님과 상담,가족;학업;예약
배우자 명의 차량 이전 또는 처분 협의,차량 관리;재무;가족
이사 업체 견적 및 포장이사 예약,가사;예약;구매
이혼 후 독립 생활을 위한 재무 설계 상담,가족;업무;경제;재무;가사;예약
신규 임차인과 상가 임대차 계약서 작성,업무;경제
임대료 입금 내역 확인 및 미납 세대주에게 연락,업무;정기 지출;통화
건물 재산세 및 종합부동산세 납부 준비,세금;재무;정기 지출
공실 상가 리모델링 공사 업체 견적 비교,업무;구매;가사
은행 PB와 만나 추가 매입 건물 담보 대출 상담,경제;재무;업무
건물 관리소장과 정기 주간 회의,업무;친목
세입자 민원 처리,업무;가사;통화
월세 장기 연체 세입자 대상 명도소송 법률 상담,업무;재무;예약
신규 투자용 부동산 임장 활동,재무;구매;업무
다른 건물주들과의 정보 교류를 위한 골프 모임,친목;취미;휴식
상가 번영회 월례회 참석,친목;업무
건물 화재보험 만기 갱신,재무;정기 지출;업무
배달 용기 및 포장 비닐 재고 확인 후 최저가 업체 검색하기,구매;업무
부동산에 전화해 권리금 시세 문의하기,업무;경제;통화
월세 날짜 맞춰보려고 은행 잔고 확인하기,정기 지출;경제;재무
배민 울트라콜 개수 줄일지 광고 효율 분석하기,업무;재무
소상공인 정책자금 대출 조건 알아보기,경제;재무;업무
부양가족 공제를 위한 부모님 정보제공 동의 요청,가족;세금;통화
월세 세액공제를 위한 임대차계약서 및 등본 준비,세금;가사;재무
9월분 재산세 고지서 확인 및 납부,세금;정기 지출;경제
종합부동산세 고지서 수령 후 세액 확인 및 충격받기,세금;재무;경제
퇴직 후 지역가입자로 전환된 건강보험료 폭탄 고지서 수령,건강;정기 지출;세금
홈택스 인증서 갱신 및 재등록,업무;세금
근로장려금 신청 자격 조회 및 정기 신청,세금;재무;경제
5월 종합소득세 신고,세금;업무;재무
건강보험료 연말정산으로 인한 추가납부 금액 확인,건강;세금;업무
종부세 분납 신청을 위한 세무서 방문 상담,세금;재무;통화
자녀의 피부양자 자격 상실 건강보험공단에 문의,가족;건강;통화
연말정산 환급금 입금 확인 및 사용 계획 세우기,재무;경제;휴식
자동차세 연납 신청으로 세액 공제받기,세금;차량 관리;정기 지출
홈택스에서 소득금액증명원 발급,재무;업무;세금
7월분 재산세 카드 납부,세금;정기 지출;경제
해촉증명서 발급 받아 건강보험료 조정 신청,건강;업무;재무
근로장려금 심사 진행상황 ARS로 확인,세금;재무;통화
연말정산 누락 항목 경정청구 신청,세금;재무;업무
재산세 종부세 상담,가족;세금;재무
은퇴 후 소득 감소에 따른 국민연금 보험료 납부예외 신청,경제;재무;정기 지출
자녀 증여를 위한 증여세 자진신고 및 납부,가족;세금;재무
4대보험 완납 증명서 인터넷 발급,업무;세금
세금 체납으로 인한 가산세 고지서 수령,세금;재무
지방소득세 특별징수분 납부,세금;업무;정기 지출
근로장려금 압류방지 전용통장 개설,재무;경제
건강보험료 장기 체납으로 인한 급여 압류 예고 통지서 확인,건강;재무;업무
연말정산 내역 회사 담당자에게 제출 및 확인 요청,업무;세금
재산세 이의신청 준비를 위한 서류 검토,세금;재무;가사
1세대 1주택 종부세 특별공제 적용 여부 확인,세금;재무
주택청약종합저축 통장에 월 납입금 10만원 이체,정기 지출;재무;경제
청약홈 사이트에서 관심 단지 입주자 모집 공고 확인,학업;경제;재무
무주택 기간 및 부양가족 수 기반 청약 가점 계산해보기,재무;가족;시험
신혼부부 특별공급 자격 조건 최종 확인 및 서류 검토,가족;시험;재무
관심 아파트 모델하우스 방문 예약 및 상담,예약;구매;경제
청약 신청을 위한 인증서 갱신,재무;세금
청약홈 홈페이지 접속하여 1순위 청약 신청,시험;구매;경제
청약 당첨자 발표 확인 후 계약금 마련 계획 수립,재무;경제;구매
청약 당첨 후 서류 제출을 위한 주민등록등본 발급,가사;구매;재무
카투사 지원,시험;학업;업무
운전면허 학원 등록,업무;시험;차량 관리
기술행정병 모집일정 확인,업무;학업
병무용 진단서 발급,건강;치료;업무
클라이언트와 비즈니스 골프 라운딩 약속 잡기,업무;친목;예약;경제;건강
주말 친구들과 스크린 골프 모임 예약,친목;취미;예약
인터파크 티켓에서 프로야구 플레이오프 경기 예매,구매;예약;취미;경제
회사 동료들과 단체 관람을 위한 일정 조율 및 예매,친목;업무;예약
경기 직관을 위한 연차 사용 신청,업무
선수들 라인업 및 선발투수 확인,취미
손흥민 선발 경기,취미;예약
주일 예배 참석,종교;가족
성경 공부 모임,종교;학업;친목
교회 봉사활동,종교;봉사
새벽 기도회,종교;건강
성가대 연습,종교;취미
교회 재정 보고 회의,종교;재무;업무
템플스테이 예약,종교;여행;예약;휴식
불교 경전 필사,종교;취미;학업
목사님과 면담 약속,종교;예약
교회 청년부 리더 모임,종교;친목
자선 바자회 준비,종교;봉사;친목
성지 순례 계획,종교;여행
미사 참여,종교;가족
종교 서적 구매,종교;구매
헌금 하기,종교;정기 지출
치과 정기 검진,치료;건강;예약
정형외과 물리치료,치료;건강
심리 상담 받기,치료;건강;휴식
피부과 레이저 시술,치료;미용
한의원 침 맞기,치료;건강
반려견 예방 접종 및 구충,치료;반려 동물;건강
어머니 병원 진료 동행,치료;가족;건강
도수치료 예약,치료;예약;건강
안과 방문 및 약 처방,치료;건강
스트레스성 두통 약 복용,치료;건강
프로젝트 마감 보고,업무
자동차 엔진오일 교체,차량 관리;정기 지출
항암치료,건강;예약;경제;가사;업무;치료
심리 상담 예약,치료;건강;예약;휴식
수강 정정,예약;학업;업무
1차 수강신청,예약;학업;업무
2차 수강신청,예약;학업;업무
출장 경비 정산 및 보고서 제출,출장;업무;재무
국내 출장 짐 싸기 및 법인카드 챙기기,출장;가사;재무
여름휴가 여행지 검색 및 예산 계획,여행;휴식;경제
여권 만료일 확인 및 재발급 신청,여행;구매;가사
해외여행 대비 은행 방문 환전 신청,여행;경제;재무
연인과 1주년 기념 레스토랑 예약,연애;예약;휴식
기념일 선물 구매하기,연애;구매
주말 드라이브 데이트 코스 계획,연애;차량 관리
독거노인 가정 방문 및 도시락 배달 봉사,봉사;휴식
자선 마라톤 대회 참가 신청,봉사;건강;취미;예약
하프 마라톤 대회,건강;취미;예약
주말 세차 및 내부 청소,차량 관리;가사;휴식
자동차 보험 만기 갱신 및 비교 견적,차량 관리;정기 지출;재무
반려견 미용실 예약 및 픽업,반려 동물;미용;예약
반려묘 캣타워 조립 및 설치,반려 동물;가사;취미
슈카월드 라이브방송,취미;경제;예약
슈카 라방,취미;경제;예약
수해 복구 지역 자원봉사 신청,봉사
북 콘서트,취미;예약
팀 프로젝트 코드 리뷰 미팅,업무;학업;친목
로스쿨 면접 기출문제 분석,학업;시험;업무
해커랭크 SQL 문제 풀이,학업;업무;취미
해커톤,학업;업무;취미
정보처리기사 실기 시험 준비,시험;학업
정처기 필기,시험;학업;예약
정처기 실기,시험;학업;예약
주식 투자 포트폴리오 리밸런싱,경제;재무;구매
신용카드 대금 명세서 확인 및 선결제,정기 지출;경제;재무
외국어 회화 스터디 참여,학업;친목;취미
블로그 포스팅용 사진 촬영 및 보정,업무;취미;미용
졸업 논문 참고 문헌 정리,학업;시험
연말정산 교육자료 시청,세금;재무;학업
아이 문화센터 발레 강좌 등록,가족;학업;예약;정기 지출
자녀 영유아 건강검진 예약,가족;건강;치료;예약
아파트 입주자대표회의 참석,가사;친목
세탁기 분해 청소 서비스 예약,가사;예약;정기 지출
베란다 누수 관련 관리사무소 문의,가사;통화
영양제 정기 구독 서비스 신청,건강;구매;정기 지출
요가원 1일 체험 클래스 신청,건강;취미;예약
차량 타이어 위치 교환 및 마모도 점검,차량 관리
반려견 사회화 훈련소 상담,반려 동물;학업;예약
지역 도서관에서 책 빌리고 반납하기,취미;휴식
동네 플리마켓 셀러로 참가 신청,구매;경제;친목;예약
전세 계약 만료 전 집주인과 갱신 협의,가사;재무;통화
우체국 가서 등기우편 발송,가사;구매;경제;업무;예약
퍼스널 컬러 진단 예약,미용;예약;취미
집에 있는 식물 분갈이 및 영양제 주기,취미;가사
부모님 댁 TV 설치 도와드리기,가족;봉사;취미
주말 농장 텃밭 가꾸기,취미;가족;휴식
보험 계약 대출 가능 여부 및 한도 확인,경제;재무;통화
악기 레슨 상담 및 등록,취미;학업;예약
유튜브 프리미엄 요금제 해지,경제;정기 지출
정수기 코디님 방문일정 조율,가사;예약
자전거 라이딩,취미;건강;친목
예비군 훈련,업무;예약
추석 KTX 역귀성표 예매 오픈일 확인 및 준비,여행;가족;예약
다음 달 제주도 여행 항공권 예매,여행;예약;구매
부모님 칠순연 장소 예약,가족;친목;예약;재무
자동차 정기검사 사전 예약,차량 관리;예약;세금
해외 학회 조기 등록 신청,업무;학업;예약;경제
자녀 가을학기 문화센터 강좌 신청,가족;학업;예약
이사 업체 방문 견적 예약,가사;예약;구매
건강검진 수면내시경 예약,건강;치료;예약
프로젝트 중간 보고서 제출,업무;학업
가을 단풍 시즌 국립공원 대피소 추첨 신청,여행;예약;취미
결혼기념일 파인다이닝 레스토랑 예약,연애;가족;예약
세브란스 초진 예약,건강;치료;예약
연휴 KTX 승차권 예매,여행;가족;예약;구매
연휴 SRT 승차권 예매,여행;가족;예약;구매
아이 생일파티 키즈카페 대관 예약,가족;친목;예약
데이터 분석 실무 유료 워크숍 신청,업무;학업;예약;구매
해외 출장 항공권 및 호텔 예약,출장;예약
프로필 사진 촬영 스튜디오 예약,미용;업무;예약
반려동물 명절 맞이 호텔링 예약,반려 동물;가족;예약
원데이 클래스 예약,취미;예약
운전면허 도로주행 연수 예약,차량 관리;학업;예약
청담동 유명 헤어 디자이너 펌/염색 예약,미용;예약
아이 돌잔치 스냅 사진 작가 예약,가족;친목;예약;구매
템플스테이 주말 프로그램 신청,종교;예약
전세 만기 후 이사할 집 포장이사 견적 신청,가사;구매;예약
제주도 여행 렌터카 예약,여행;차량 관리;예약
자격증 시험 고사장 선택 및 원서 접수,시험;학업;예약
부모님 댁 보일러 교체 시공업체 예약,가족;가사;예약
뮤지컬 앞자리 티켓팅 예매,취미;구매;예약
정부지원 산후도우미 서비스 신청,가족;건강;예약
가족 해외여행을 위한 비자 발급 대행 신청,여행;가족;업무;예약
재종반 등록,학업;시험;예약;구매
치아 교정 월치료 예약일 변경,치료;건강;예약
에어컨 이전 설치 기사님 방문일 예약,가사;구매;예약
컴퓨터활용능력 실기 시험 접수,시험;학업;예약
자동차 외관 복원을 위한 공업사 예약,차량 관리;예약
프리랜서 건강검진 대상자 확인 및 예약,건강;업무;예약
빨래하기,가사
설거지,가사
청소기 돌리기,가사
주말 대청소,가사
이불 개기,가사
쓰레기 분리수거,가사
창문 닦기,가사
식탁 정리,가사
화장실 청소,가사
옷장 정리,가사
주방 정리,가사
침구 교체,가사
독서하기,취미;휴식
그림 그리기,취미
악기 연습,취미
요리 수업 듣기,취미
사진 찍기,취미
퍼즐 맞추기,취미
악기 청소,취미
뜨개질,취미
영화 감상,취미
드로잉,취미
목공 DIY,취미
블로그 포스팅,취미
낮잠 자기,휴식;취미
산책하기,휴식;건강
명상하기,휴식;취미
카페에서 휴식,휴식;취미
음악 감상,휴식;건강
목욕하기,휴식;건강
독서 휴식,휴식;건강
담요 덮고 쉬기,휴식;건강
조용한 시간 갖기,휴식;취미
스트레칭,휴식;건강
커피 타임,휴식;취미
아침 조깅,건강;취미
요가 수업,건강;치료;취미
병원 정기검진,건강;휴식
헬스장 운동,건강;취미
건강 검진 결과 확인,건강;휴식
비타민 구매,건강;치료
달리기 연습,건강;치료;취미
수영 강습,건강;치료;취미
바이크 타기,건강;취미
건강 식단 계획,건강;휴식
스트레칭 루틴,건강;휴식
등산하기,건강;치료;취미
헤어 커트 예약,미용;예약
네일아트 받기,미용;휴식
피부 관리,미용;건강
스파 방문,미용;건강;취미
메이크업 연습,미용;취미
헤어 팩 하기,미용;휴식
마사지 받기,미용;휴식
피부 스크럽,미용;휴식
눈썹 정리,미용;휴식
헤어 컬러링,미용;휴식
미용 제품 구매,미용;휴식
메이크업 강습,미용;건강
오일 교체 예약,차량 관리;정기 지출;예약
타이어 점검,차량 관리;정기 지출
자동차 세차,차량 관리;정기 지출
브레이크 검사,차량 관리;정기 지출
엔진 점검,차량 관리;재무
에어컨 필터 교체,차량 관리;정기 지출
배터리 점검,차량 관리;재무
연비 체크,차량 관리;정기 지출
와이퍼 교체,차량 관리;정기 지출
연료 보충,차량 관리;재무
경정비 스케줄 확인,차량 관리;재무
자동차 등록 갱신,차량 관리;재무
강아지 산책,반려 동물;건강
고양이 목욕,반려 동물;건강
반려견 예방접종,반려 동물;가족
반려동물 사료 구매,반려 동물;건강;구매
애완동물 미용,반려 동물;가족
새장 청소,반려 동물;가족
반려동물 장난감 만들기,반려 동물;건강
반려동물 건강 체크,반려 동물;가족;건강
반려동물 사진 촬영,반려 동물;건강
강아지 훈련,반려 동물;가족
고양이 발톱 깎기,반려 동물;건강
반려동물 약 구입,반려 동물;가족
가족 저녁 식사,가족
부모님 집 방문,가족;친목
가족 생일 파티 준비,가족;여행
조부모님 선물 구매,가족;구매
형제자매와 통화,가족;친목
가족 여행 계획,가족;친목
가족 사진 찍기,가족;친목
명절 선물 준비,가족
가족 모임 참석,가족
가족 영화 보기,가족;친목
가족 워크숍 참가,가족;여행
가족 상담 세션,가족;친목
데이트 예약,연애;가족;예약
기념일 선물 구매,연애;친목;구매
영화 데이트,연애
커플 사진 촬영,연애
데이트 코스 계획,연애
커플 요가 클래스,연애
데이트 카페 방문,연애
서프라이즈 이벤트 준비,연애;가족;친목
손편지 쓰기,연애;친목
커플 게임 밤,연애
데이트 레스토랑 예약,연애
데이트 기념일 파티,연애
친구 모임,친목;연애
동호회 참석,친목;취미
클럽 회식,친목;취미
보드게임 카페 방문,친목
동창회 준비,친목;취미
스터디 그룹 모임,친목
회식 예약,친목;취미
친구 생일 파티,친목
동네 걷기 모임,친목
동아리 활동,친목;취미
술자리 참석,친목;연애
친목 스터디카페 사용,친목;취미
프로젝트 회의,업무;통화
보고서 작성,업무;학업
이메일 답변,업무;통화
고객 미팅,업무;통화
서류 정리,업무;학업
업무 보고,업무;통화
팀 워크숍,업무;통화
회의록 작성,업무;통화
주간 보고서 제출,업무;통화
프레젠테이션 준비,업무;학업
업무 문서 검토,업무;통화
전화 회의,업무;학업
과제 제출,학업;업무
도서관 공부,학업;시험
강의 노트 정리,학업;업무
팀플 회의,학업;시험
스터디 카페 예약,학업;시험
교수님 면담,학업;업무
참고문헌 찾기,학업;시험
시험 범위 정리,학업;시험
학습 계획 세우기,학업;시험
수업 복습,학업;업무
전공 서적 읽기,학업;시험
실습 보고서 작성,학업;업무
모의고사 응시,시험;학업
시험 공부,시험;학업
오답 노트 분석,시험;학업
기출문제 풀기,시험;학업
시험 과목 복습,시험;학업
시험 장소 확인,시험;휴식
시험 일정 조회,시험;휴식
시험 전략 세우기,시험;학업
필기구 준비,시험;학업
시험 스트레칭,시험;학업
시험 전 휴식,시험;학업
국내 여행 계획,여행;예약
여행지 예약,여행;예약
여권 사진 찍기,여행;구매;미용
항공권 구매,여행;예약
호텔 예약,여행;구매
여행 짐 싸기,여행;예약
여행 일정 짜기,여행
관광지 리스트 작성,여행
해외 여행 준비,여행;예약
지도 다운로드,여행;예약
환전하기,여행;구매
여행 보험 가입,여행;구매
주식 포트폴리오 검토,경제;재무
예산 짜기,경제;재무
가계부 정리,경제;재무
금융 뉴스 확인,경제;세금
재테크 강의 듣기,경제;세금
투자 상담,경제;세금
은행 잔고 확인,경제;재무
보험 상품 비교,경제;세금
펀드 가입,경제;재무
신용카드 청구서 확인,경제;세금
저축 계획 세우기,경제;세금
금리 비교,경제;재무
출장 준비,출장;출장
출장 회의,출장;출장
출장 보고서 작성,출장;업무
출장 호텔 체크인,출장;업무
출장 교통편 확인,출장;업무
출장 경비 정리,출장;출장
출장 회식,출장;업무
출장 일정 알림,출장;업무
출장 복장 준비,출장;출장
출장 용 송장 작성,출장;업무
출장 후 보고,출장;출장
출장지 관광,출장;업무
생필품 장보기,구매;예약
가전 제품 구매,구매
책 구매,구매
온라인 쇼핑,구매
의류 구매,구매
화장품 구매,구매
장바구니 정리,구매
할인 쿠폰 확인,구매
시장 방문,구매
전자제품 가격 비교,구매
가구 구매,구매
선물 구매,구매
병원 예약,예약
식당 예약,예약
미용실 예약,예약;구매
헬스장 예약,예약;건강;구매
영화 티켓 예약,예약;구매
공연 예약,예약;구매
교통편 예약,예약;구매
숙박 예약,예약;구매
스파 예약,예약;구매
테니스 코트 예약,예약;구매
강의 예약,예약;구매
휴대폰 요금 납부,정기 지출;경제
인터넷 요금 납부,정기 지출;경제
전기 요금 납부,정기 지출;경제
월세 납부,정기 지출;재무
보험료 납부,정기 지출;경제
정기 구독 갱신,정기 지출;재무
헬스장 회비 납부,정기 지출;재무
스트리밍 서비스 요금 납부,정기 지출;재무
정수기 렌탈 비용 납부,정기 지출;경제
자동차 할부 납부,정기 지출;재무
정기 기부,정기 지출;재무
정기 세금 신고,정기 지출;재무
세무 상담,재무;세금
보험 갱신,재무;세금
대출 상환 계획,재무;세금
연말정산 준비,재무;세금
예금 만기 확인,재무;세금
투자 포트폴리오 점검,재무;세금
연금 확인,재무;정기 지출
예산 재조정,재무;세금
금융상품 가입,재무;세금
재무 보고서 작성,재무;정기 지출
자산 관리,재무;정기 지출
부채 확인,재무;세금
종합소득세 신고,세금;정기 지출
자동차세 납부,세금;정기 지출
주택세 신고,세금;정기 지출
사업자세 신고,세금;재무
세무사 상담,세금;재무
세금 계산기 사용,세금;정기 지출
세금 환급 조회,세금;정기 지출
부가가치세 신고,세금;재무
원천세 신고,세금;정기 지출
증여세 신고,세금;재무
양도소득세 신고,세금;재무
지방세 납부,세금;정기 지출
자원봉사 활동,봉사;종교
기부 준비,봉사;종교
무료 급식 봉사,봉사;종교
환경 정화 봉사,봉사;종교
노인 복지 봉사,봉사;종교
어린이 교육 봉사,봉사;친목
동물 보호소 봉사,봉사;종교
헌혈,봉사;
봉사 시간 정리,봉사;친목
자원봉사 단체 회의,봉사;종교
지역사회 봉사,봉사;종교
종교 봉사,봉사;친목
부모님께 전화,통화;가족
고객 응대 통화,통화;가족
친구 통화,통화;친목
업체 문의 통화,통화;업무
의료 상담 통화,통화
업무 확인 통화,통화;업무
돌봄 서비스 통화,통화;업무
세금 상담 통화,통화;업무
보험 상담 통화,통화
교수님 면담 통화,통화;업무
긴급 상황 통화,통화;업무
연락처 업데이트,통화;업무
교회 예배 참석,종교;휴식
성경 공부,종교;휴식
기도 모임,종교;휴식
명상 수업,종교;봉사
사찰 방문,종교;봉사
종교 서적 읽기,종교;봉사
종교 행사 기획,종교;봉사
종교 단체 모임,종교;휴식
기도문 작성,종교;봉사
종교 상담,종교
종교 기부,종교
물리치료 예약,치료;건강
심리 상담,치료;건강
치과 치료,치료;건강
한방 치료 시술,치료;건강
피부과 치료,치료;건강
정신 건강 검진,치료
약 처방 받기,치료
치료 일지 작성,치료;건강
치료 후 휴식,치료;휴식
치료 운동,치료;건강
물리치료 운동,치료;건강
정신 상담 기록,치료;건강
유진이랑 강남역에서 저녁 약속,연애;친목
이철수 교수님 연구실 방문,학업;업무
판교 현대백화점에서 쇼핑하기,구매;휴식
국민은행 가서 통장 재발급 받기,재무
